Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
525,0.736382,1.271102,3.80,4,10
526,0.697628,1.263008,3.90,4,10
527,0.823255,1.401514,3.80,4,10
528,0.597430,1.277676,3.70,4,10
529,1.107775,1.744140,3.80,4,10
530,1.080321,1.853111,3.60,4,10
531,0.914356,1.828548,3.60,4,10
532,1.028281,1.611117,3.80,4,10
533,0.795913,1.922451,3.80,4,10
534,1.089130,1.833302,3.90,4,10
535,1.118586,1.750608,3.70,4,10
536,1.122627,1.859323,3.60,4,10
537,1.077617,1.929775,3.70,4,10
538,0.947564,1.973190,3.90,4,10
539,1.097846,1.946290,3.80,4,10
540,0.816497,1.178374,3.90,4,10
541,0.780294,1.223234,3.90,4,10
542,0.799105,1.229036,3.80,4,10
543,0.627560,1.220365,3.90,4,10
544,0.879572,1.944505,3.70,4,10
545,1.152712,2.060697,3.70,4,10
546,0.781614,1.602961,4.00,4,10
547,1.135085,1.958241,3.80,4,10
548,0.999576,1.994674,3.90,4,10
549,1.171324,1.826426,3.50,4,10
550,0.908509,1.504898,3.80,4,10
551,0.957215,1.967274,3.70,4,10
552,1.481840,1.980573,3.60,4,10
553,1.123382,1.652081,3.90,4,10
554,0.914634,1.668880,3.90,4,10
555,1.241843,1.774084,4.00,4,10
556,1.165028,1.777557,3.90,4,10
557,1.037399,1.689017,3.90,4,10
558,0.714370,1.417601,3.80,4,10
559,0.796667,1.605981,3.70,4,10
560,0.793331,1.802533,3.80,4,10
561,1.242805,1.909618,3.70,4,10
562,0.966914,1.678679,4.00,4,10
563,0.926476,1.933068,4.00,4,10
564,1.468170,2.081464,3.50,4,10
565,1.486306,2.194723,3.70,4,10
566,0.894496,1.870720,3.90,4,10
567,1.154754,1.999855,3.70,4,10
568,1.227879,1.855575,3.80,4,10
569,0.737440,1.334190,3.90,4,10
570,1.144232,1.975130,3.80,4,10
571,0.708033,1.558270,4.00,4,10
572,1.056446,2.191726,3.90,4,10
573,0.870930,1.848938,3.80,4,10
574,1.179914,2.169914,3.80,4,10
575,1.230298,2.229018,3.70,4,10
576,1.413181,2.241129,3.80,4,10
577,1.500735,2.105484,3.80,4,10
578,1.255338,1.827265,4.00,4,10
579,0.825650,1.632111,3.90,4,10
580,1.146812,2.106153,3.80,4,10
581,1.381262,2.082937,3.80,4,10
582,1.284727,2.111422,3.80,4,10
583,1.031464,2.151456,3.70,4,10
584,1.178210,2.259526,3.60,4,10
585,1.193892,2.245712,3.70,4,10
586,1.015629,2.047231,3.80,4,10
587,1.115792,1.623094,3.70,4,10
588,0.503979,0.984289,4.00,4,10
589,0.764828,1.618813,3.80,4,10
590,0.896442,1.997510,3.80,4,10
591,1.363902,2.327964,3.50,4,10
592,0.716310,1.448758,3.90,4,10
593,0.678650,1.404361,4.00,4,10
594,0.916114,1.729086,3.70,4,10
595,1.021925,1.687203,3.60,4,10
596,1.021100,1.691673,3.80,4,10
597,0.857437,1.536599,4.00,4,10
598,1.279904,2.177874,3.90,4,10
599,1.553209,2.347570,3.80,4,10
600,1.529075,2.472266,3.60,4,10
601,1.253515,2.409342,3.80,4,10
602,0.996477,1.647355,3.80,4,10
603,1.418422,2.317276,3.90,4,10
604,0.740232,1.435230,3.90,4,10
605,1.014438,1.720715,4.00,4,10
606,0.954877,1.585156,3.70,4,10
607,0.814152,1.647436,3.70,4,10
608,0.671979,1.040100,4.00,4,10
609,1.052775,1.708465,3.50,4,10
610,1.024307,2.185164,3.90,4,10
611,1.304481,2.238682,4.00,4,10
612,0.999824,1.942653,3.90,4,10
613,0.982912,1.798214,3.80,4,10
614,1.204543,1.761192,3.60,4,10
615,1.145285,2.027890,3.70,4,10
616,1.386022,2.512241,3.70,4,10
617,1.106554,2.027236,3.90,4,10
618,1.544801,2.400444,3.70,4,10
619,1.228421,2.254529,3.90,4,10
620,1.588890,2.525213,3.80,4,10
621,0.957452,1.746349,3.70,4,10
622,1.074138,1.750747,3.70,4,10
623,0.796832,1.706833,3.80,4,10
624,1.068741,1.732109,3.70,4,10
625,1.186822,1.737989,3.60,4,10
626,0.979480,1.417489,3.90,4,10
627,1.203903,2.535870,3.80,4,10
628,1.055636,1.819122,3.90,4,10
629,1.446383,2.206604,3.90,4,10
630,1.194887,1.718567,3.90,4,10
631,1.256183,2.572286,3.70,4,10
632,1.071101,2.392703,3.80,4,10
633,1.267105,2.202248,3.90,4,10
634,1.669507,2.686780,3.50,4,10
635,1.420921,2.611291,3.70,4,10
636,1.124315,2.306616,3.70,4,10
637,1.250652,2.288759,3.80,4,10
638,1.156248,1.959060,3.90,4,10
639,0.935746,1.833307,3.60,4,10
640,0.921285,1.542177,3.80,4,10
641,1.066115,1.761141,3.80,4,10
642,0.744383,1.817288,3.80,4,10
643,0.650691,1.216721,4.00,4,10
644,1.210775,2.623241,3.70,4,10
645,1.566926,2.396328,3.80,4,10
646,1.600209,2.467569,3.90,4,10
647,1.680173,2.519480,3.60,4,10
648,1.481304,2.613032,3.60,4,10
649,1.365497,2.439241,3.80,4,10
650,1.540004,2.624646,3.80,4,10
651,1.171758,1.895991,3.60,4,10
652,0.992871,1.969335,3.80,4,10
