Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
109,0.032394,0.061361,6.80,7,10
110,0.030146,0.035585,6.90,7,10
111,0.032907,0.058428,7.00,7,10
112,0.032862,0.059008,6.90,7,10
113,0.030577,0.031206,6.90,7,10
114,0.030675,0.031176,6.90,7,10
115,0.030844,0.031608,6.90,7,10
116,0.034317,0.059281,7.00,7,10
117,0.035157,0.066740,6.90,7,10
118,0.035808,0.067730,7.00,7,10
119,0.035221,0.062019,6.90,7,10
120,0.035270,0.060463,6.90,7,10
121,0.038456,0.063253,7.00,7,10
122,0.036231,0.068515,7.00,7,10
123,0.032507,0.033448,6.80,7,10
124,0.035922,0.060091,7.00,7,10
125,0.036118,0.061229,7.00,7,10
126,0.033768,0.034311,7.00,7,10
127,0.036679,0.060542,6.80,7,10
128,0.034298,0.035096,7.00,7,10
129,0.034990,0.035785,7.00,7,10
130,0.038444,0.066234,7.00,7,10
131,0.038068,0.063466,7.00,7,10
132,0.038581,0.063679,7.00,7,10
133,0.039000,0.069429,7.00,7,10
134,0.040236,0.078206,7.00,7,10
135,0.035911,0.036606,6.90,7,10
136,0.040210,0.074306,6.90,7,10
137,0.041141,0.081806,7.00,7,10
138,0.041593,0.079178,7.00,7,10
139,0.037512,0.037965,7.00,7,10
140,0.037856,0.039322,7.00,7,10
141,0.038105,0.039259,7.00,7,10
142,0.046261,0.078548,6.90,7,10
143,0.038336,0.038959,7.00,7,10
144,0.042755,0.078698,7.00,7,10
145,0.042951,0.076824,7.00,7,10
146,0.039150,0.039677,7.00,7,10
147,0.045949,0.073180,7.00,7,10
148,0.047580,0.080638,7.00,7,10
149,0.042999,0.068728,7.00,7,10
150,0.040778,0.041550,7.00,7,10
151,0.043884,0.069224,7.00,7,10
152,0.041441,0.042235,7.00,7,10
153,0.048395,0.078461,7.00,7,10
154,0.042011,0.042387,7.00,7,10
155,0.042016,0.043320,7.00,7,10
156,0.048617,0.076455,7.00,7,10
157,0.042903,0.043361,7.00,7,10
158,0.045984,0.072354,7.00,7,10
159,0.046269,0.072496,7.00,7,10
160,0.047027,0.076522,7.00,7,10
161,0.050129,0.080513,7.00,7,10
162,0.047175,0.071429,7.00,7,10
163,0.044956,0.045519,7.00,7,10
164,0.045212,0.046012,7.00,7,10
165,0.045603,0.046221,7.00,7,10
166,0.049039,0.072571,7.00,7,10
167,0.051255,0.074732,7.00,7,10
168,0.045887,0.065980,7.00,7,10
169,0.038298,0.039713,7.00,7,10
170,0.043044,0.073443,7.00,7,10
171,0.043917,0.079960,7.00,7,10
172,0.046426,0.077022,7.00,7,10
173,0.042533,0.073105,7.00,7,10
174,0.043690,0.065693,7.10,8,10
175,0.041375,0.064737,7.00,7,10
176,0.042408,0.067488,7.00,7,10
177,0.040500,0.062733,7.00,7,10
178,0.039211,0.042314,7.00,7,10
